
SetupTitle, Gummel
PrimitiveTest, I/V Sweep
DataValue, 0.73, 0.73, 0, -0.0028126, 0.00044592000000000004, 0.0023668, 5.307678507355579
DataValue, 0.74, 0.74, 0, -0.0030134000000000003, 0.00047040000000000005, 0.0025418, 5.403486394557822
DataValue, 0.75, 0.75, 0, -0.0032170000000000002, 0.00049666, 0.0027202, 5.4769862682720571
DataValue, 0.76, 0.76, 0, -0.0034248, 0.00052502000000000007, 0.0029006, 5.5247419145937293
DataValue, 0.77, 0.77, 0, -0.0036352, 0.00055546, 0.0030812, 5.5471141036258231
DataValue, 0.78, 0.78, 0, -0.0038498, 0.0005867, 0.0032628, 5.5612749275609339
DataValue, 0.79, 0.79, 0, -0.0040636, 0.00062268, 0.0034412, 5.5264341234663066
DataValue, 0.8, 0.8, 0, -0.0042796, 0.00066090000000000007, 0.0036196, 5.4767740959297919
DataValue, 0.81, 0.81, 0, -0.004497, 0.00070308, 0.0037928000000000003, 5.3945496956249643
DataValue, 0.82000000000000006, 0.82000000000000006, 0, -0.0047150000000000004, 0.00074612000000000007, 0.0039686, 5.3189835415214706
DataValue, 0.83000000000000007, 0.83000000000000007, 0, -0.0049286, 0.00079656000000000008, 0.004134, 5.189816209701716
DataValue, 0.84000000000000008, 0.84000000000000008, 0, -0.0051470000000000005, 0.0008438600000000001, 0.0043102, 5.1077192899296087
DataValue, 0.85000000000000009, 0.85000000000000009, 0, -0.0053736, 0.00089142000000000008, 0.0044814, 5.027259877498822
DataValue, 0.86, 0.86, 0, -0.0055936, 0.00094732000000000008, 0.0046426, 4.9007727061605371
DataValue, 0.87, 0.87, 0, -0.005818, 0.00099796, 0.0048174, 4.82724758507355
DataValue, 0.88, 0.88, 0, -0.006035, 0.0010581400000000002, 0.0049826, 4.7088286994159558
DataValue, 0.89, 0.89, 0, -0.0062628, 0.0011096, 0.0051568000000000004, 4.6474405191059844
DataValue, 0.9, 0.9, 0, -0.0064996, 0.0011544, 0.0053662, 4.6484753984753979
DataValue, 0.91, 0.91, 0, -0.0067498, 0.0011962000000000001, 0.0055632, 4.6507273031265672
DataValue, 0.92, 0.92, 0, -0.0069884000000000005, 0.0012486, 0.0057458, 4.6017940092904048
DataValue, 0.93, 0.93, 0, -0.0072248, 0.001304, 0.0059162, 4.536963190184049
DataValue, 0.94000000000000006, 0.94000000000000006, 0, -0.0074616000000000005, 0.0013638, 0.0060922, 4.4670772840592461
DataValue, 0.95000000000000007, 0.95000000000000007, 0, -0.0076962, 0.001427, 0.0062574, 4.3850035038542394
DataValue, 0.96000000000000008, 0.96000000000000008, 0, -0.0079332, 0.0014824, 0.0064798, 4.3711548839719372
DataValue, 0.97000000000000008, 0.97000000000000008, 0, -0.0081758, 0.0015444, 0.0066416, 4.3004403004403
DataValue, 0.98000000000000009, 0.98000000000000009, 0, -0.008433, 0.001593, 0.0068344, 4.2902699309478969
DataValue, 0.9900000000000001, 0.9900000000000001, 0, -0.0086674, 0.00166, 0.0070144000000000005, 4.225542168674699
DataValue, 1, 1, 0, -0.0089082, 0.0017244, 0.0071918, 4.1706100672697746
